Player Name ,ODI Year : Run,Total Carrier Runs
JA Maclean,"year 1979: Run 11
",11
KH MacLeay,"year 1983: Run 73
year 1984: Run 15
year 1987: Run 51
",139
JN Maguire,"year 1983: Run 3
year 1984: Run 39
",42
JP Maher,"year 1998: Run 21
year 2002: Run 228
year 2003: Run 189
",438
AA Mallett,"year 1971: Run -
year 1972: Run 14
year 1974: Run -
year 1975: Run 0
",14
MF Malone,"year 1977: Run 5
year 1982: Run 31
",36
GA Manou,"year 2009: Run 7
",7
GR Marsh,"year 1986: Run 724
year 1987: Run 883
year 1988: Run 498
year 1989: Run 818
year 1990: Run 546
year 1991: Run 606
year 1992: Run 282
",4357
MR Marsh,"year 2011: Run 8
year 2013: Run 31
year 2014: Run 321
year 2015: Run 236
year 2016: Run 642
year 2017: Run 4
year 2018: Run 186
",1428
RW Marsh,"year 1971: Run 10
year 1972: Run 17
year 1974: Run 1
year 1975: Run 92
year 1977: Run 43
year 1979: Run 100
year 1980: Run 107
year 1981: Run 215
year 1982: Run 101
year 1983: Run 257
year 1984: Run 282
",1225
SE Marsh,"year 2008: Run 333
year 2009: Run 393
year 2010: Run 313
year 2011: Run 235
year 2013: Run 216
year 2014: Run 177
year 2015: Run 45
year 2016: Run 146
year 2017: Run 38
year 2018: Run 416
year 2019: Run 435
",2747
DR Martyn,"year 1992: Run 45
year 1993: Run 91
year 1994: Run 30
year 1998: Run 114
year 1999: Run 450
year 2000: Run 532
year 2001: Run 417
year 2002: Run 718
year 2003: Run 878
year 2004: Run 611
year 2005: Run 805
year 2006: Run 655
",5346
RAL Massie,"year 1972: Run 16*
",16
GRJ Matthews,"year 1984: Run 12
year 1985: Run 72
year 1986: Run 318
year 1987: Run 71
year 1989: Run 9
year 1990: Run 40
year 1992: Run 61
year 1993: Run 36
",619
GJ Maxwell,"year 2012: Run 124
year 2013: Run 387
year 2014: Run 380
year 2015: Run 644
year 2016: Run 228
year 2017: Run 272
year 2018: Run 207
year 2019: Run 458
",2700
TBA May,"year 1987: Run 16
year 1988: Run -
year 1989: Run 2
year 1992: Run -
year 1993: Run 4
year 1994: Run 14
year 1995: Run 3
",39
JM Mennie,"year 2016: Run 1
",1
TM Moody,"year 1987: Run 10
year 1989: Run 52
year 1990: Run 219
year 1991: Run 66
year 1992: Run 404
year 1996: Run 11
year 1997: Run 4
year 1998: Run 247
year 1999: Run 198
",1211
JK Moss,"year 1979: Run 7
",7
DP Nannes,"year 2009: Run 1
",1
MG Neser,"year 2018: Run 6
",8
AA Noffke,"year 2008: Run -
",-
MJ North,"year 2009: Run 5
",6
SP O'Donnell,"year 1985: Run 326
year 1987: Run 241
year 1989: Run 160
year 1990: Run 427
year 1991: Run 88
",1242
KJ O'Keeffe,"year 1977: Run 16*
",16
TD Paine,"year 2009: Run 447
year 2010: Run 278
year 2011: Run 12
year 2018: Run 153
",890
JS Paris,"year 2016: Run -
",-
LS Pascoe,"year 1977: Run 4
year 1979: Run -
year 1980: Run 5
year 1981: Run 3
year 1982: Run 27
",39
JL Pattinson,"year 2011: Run 0
year 2012: Run 36
year 2014: Run 4
year 2015: Run 2
",42
WB Phillips,"year 1982: Run -
year 1984: Run 153
year 1985: Run 492
year 1986: Run 207
",852
RT Ponting,"year 1995: Run 196
year 1996: Run 733
year 1997: Run 75
year 1998: Run 1166
year 1999: Run 1038
year 2000: Run 510
year 2001: Run 828
year 2002: Run 882
year 2003: Run 1154
year 2004: Run 840
year 2005: Run 1191
year 2006: Run 798
year 2007: Run 1424
year 2008: Run 278
year 2009: Run 1198
year 2010: Run 771
year 2011: Run 604
year 2012: Run 18
",13589
GD Porter,"year 1979: Run 3
",3
CG Rackemann,"year 1983: Run 2
year 1984: Run 18
year 1985: Run -
year 1989: Run 6
year 1990: Run 8
year 1991: Run -
",34
IR Redpath,"year 1971: Run 12
year 1974: Run 8
year 1975: Run 26
",46
BA Reid,"year 1986: Run 16
year 1987: Run 20
year 1990: Run 1
year 1991: Run 3
year 1992: Run 9
",49
PR Reiffel,"year 1992: Run 41
year 1993: Run 67
year 1994: Run 130
year 1995: Run 64
year 1996: Run 119
year 1997: Run 38
year 1998: Run 34
year 1999: Run 10
",503
JA Richardson,"year 2018: Run 14
year 2019: Run 29
",68
KW Richardson,"year 2013: Run 0
year 2014: Run 11
year 2016: Run 19
year 2017: Run 0
year 2018: Run 15
year 2019: Run 5
",50
GM Ritchie,"year 1982: Run 4
year 1984: Run 340
year 1985: Run 64
year 1986: Run 462
year 1987: Run 89
",959
SJ Rixon,"year 1978: Run 20
year 1985: Run 20
",40
GR Robertson,"year 1994: Run 6
year 1995: Run 1
year 1998: Run 38
",45
RD Robinson,"year 1977: Run 70
",82
L Ronchi,"year 2008: Run 76
year 2013: Run 139
year 2014: Run 418
year 2015: Run 424
year 2016: Run 149
year 2017: Run 191
",76
GS Sandhu,"year 2015: Run -
",-
CS Serjeant,"year 1977: Run 46
year 1978: Run 25
",73
AP Sheahan,"year 1972: Run 50
",75
DJM Short,"year 2018: Run 47*
",83
PM Siddle,"year 2009: Run 12
year 2010: Run 9
year 2019: Run 10
",31
JD Siddons,"year 1988: Run 32
",32
RB Simpson,"year 1978: Run 23
",36
MJ Slater,"year 1993: Run 91
year 1994: Run 435
year 1995: Run 232
year 1996: Run 211
year 1997: Run 18
",987
SB Smith,"year 1983: Run 164
year 1984: Run 484
year 1985: Run 213
",861
SPD Smith,"year 2010: Run 139
year 2011: Run 204
year 2012: Run 29
year 2013: Run 8
year 2014: Run 541
year 2015: Run 805
year 2016: Run 1154
year 2017: Run 449
year 2018: Run 102
",3431
KR Stackpole,"year 1971: Run 13
year 1972: Run 150
year 1974: Run 61
",224
B Stanlake,"year 2017: Run 1
year 2018: Run 3
year 2019: Run 0
",4
MA Starc,"year 2010: Run -
year 2012: Run 43
year 2013: Run 79
year 2014: Run 39
year 2015: Run 2
year 2016: Run 45
year 2017: Run 51
year 2018: Run 21
",280
MP Stoinis,"year 2015: Run 4
year 2017: Run 341
year 2018: Run 376
year 2019: Run 242
",963
AM Stuart,"year 1997: Run 1
",1
A Symonds,"year 1998: Run -
year 1999: Run 158
year 2000: Run 319
year 2001: Run 216
year 2002: Run 57
year 2003: Run 734
year 2004: Run 803
year 2005: Run 815
year 2006: Run 761
year 2007: Run 808
year 2008: Run 335
year 2009: Run 82
",5088
SW Tait,"year 2007: Run 11
year 2009: Run 13
year 2010: Run 1
year 2011: Run 0
",25
